kodis-id,buyer or seller,concatenated utterances
2523,buyer," I would like a refund on the kobe bryant jersey, because I received one that does not even have his name or number on it.  I have screenshots of the product and product description when I placed the order, the website was changed after my purchase was made. I am not complaining about the quality of the product I received, I am asking for a refund because I was sent a product that I did not match what I purchased.  Where would like them sent? The fact is that the product I purchased was a kobe bryant jersey and that is not what I received."
2523,buyer," I have screenshots of the product and product description when I placed the order, the website was changed after my purchase was made. I am not complaining about the quality of the product I received, I am asking for a refund because I was sent a product that I did not match what I purchased.  Where would like them sent? The fact is that the product I purchased was a kobe bryant jersey and that is not what I received.  Past transactions with others are irrelevant. If you have a kobe bryant, I would gladly sent this one back for that. If you do not have one, I will send this one back and expect a refund. It is that simple."
2523,buyer," Where would like them sent? The fact is that the product I purchased was a kobe bryant jersey and that is not what I received.  Past transactions with others are irrelevant. If you have a kobe bryant, I would gladly sent this one back for that. If you do not have one, I will send this one back and expect a refund. It is that simple.  Thank you for the reminder. I can also call my credit card company, and have the charges reversed as I was sold a product that is not the one that was shown on the website."
2523,buyer," Past transactions with others are irrelevant. If you have a kobe bryant, I would gladly sent this one back for that. If you do not have one, I will send this one back and expect a refund. It is that simple.  Thank you for the reminder. I can also call my credit card company, and have the charges reversed as I was sold a product that is not the one that was shown on the website.  Call it what you'd like, liar seems fairly extreme, but I simply have no reason to order a non-kobe bryant jersey and you sent the wrong product. It is a simple as me returning the product, and receiving either the bryant jersey or reimbursing my money. It is either that or this can be escalated and I will resolve it myself through my payment processor. You can take it or leave it, that is your choice."
2523,buyer," Thank you for the reminder. I can also call my credit card company, and have the charges reversed as I was sold a product that is not the one that was shown on the website.  Call it what you'd like, liar seems fairly extreme, but I simply have no reason to order a non-kobe bryant jersey and you sent the wrong product. It is a simple as me returning the product, and receiving either the bryant jersey or reimbursing my money. It is either that or this can be escalated and I will resolve it myself through my payment processor. You can take it or leave it, that is your choice.  I Walk Away."
2523,seller, Unfortunately that is not true. All our merchandise is good quality and it comes exactly as described on our website.  i would like to  those screenshots because this doesn't  sound like something we do.  We thrive on keeping our  customers happy with their orders  and I see that this is not your first attempt to obtain something from other sellers.
2523,seller, i would like to  those screenshots because this doesn't  sound like something we do.  We thrive on keeping our  customers happy with their orders  and I see that this is not your first attempt to obtain something from other sellers.  i will have to remind you that all sales are final and we won't give you a refund.
2523,seller, We thrive on keeping our  customers happy with their orders  and I see that this is not your first attempt to obtain something from other sellers.  i will have to remind you that all sales are final and we won't give you a refund.  I am sorry to hear that you are willing to lie  and not accept something that you agreed on when you made the purchase.  
2523,seller," i will have to remind you that all sales are final and we won't give you a refund.  I am sorry to hear that you are willing to lie  and not accept something that you agreed on when you made the purchase.    Submitted agreement: Buyer gets partial refund, seller kept their review, buyer retracted their review, seller didn't apologize, and buyer didn't apologize."
2525,buyer," Hello. I would like to reach an agreement here.   I purchased the Kobe jersey for my sick nephew. I could have gotten it elsewhere for less, but you promised fast delivery. However, I got a jersey for another random player. Now the listing has changed. You have left me a slanderous review as well. I am willing to take my poor review down and I do not need an apology - however I do want a refund.   I believe this is an acceptable solution. "
2525,buyer," I purchased the Kobe jersey for my sick nephew. I could have gotten it elsewhere for less, but you promised fast delivery. However, I got a jersey for another random player. Now the listing has changed. You have left me a slanderous review as well. I am willing to take my poor review down and I do not need an apology - however I do want a refund.   I believe this is an acceptable solution.   I do not require that you apolagize to me if you do not require I apolagize to you. This part of the deal is not so important to me"
2525,buyer, I believe this is an acceptable solution.   I do not require that you apolagize to me if you do not require I apolagize to you. This part of the deal is not so important to me  
2525,buyer," I do not require that you apolagize to me if you do not require I apolagize to you. This part of the deal is not so important to me    Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize."
2525,seller," Hello, can you tell me more about the issue that you have?   I am sorry about your nephew. That is awful to hear. The listing was for a random player not specifically a Kobe jersey. It is unfortunate that there was miscommunication there. I am willing to give a refund and take down my review if you are willing to take down your review and send the jersey back to me.   I am glad that you feel that way. I am willing to cover the cost of shipping it back. Are there any other issues that you have? "
