kodis-id,b_fullChat
2525,"<b>[You]</b>: Hello. I would like to reach an agreement here. <br><b>[Other]</b>: Hello, can you tell me more about the issue that you have? <br><b>[You]</b>: I purchased the Kobe jersey for my sick nephew. I could have gotten it elsewhere for less, but you promised fast delivery. However, I got a jersey for another random player. Now the listing has changed. You have left me a slanderous review as well. I am willing to take my poor review down and I do not need an apology - however I do want a refund. <br><b>[Other]</b>: I am sorry about your nephew. That is awful to hear. The listing was for a random player not specifically a Kobe jersey. It is unfortunate that there was miscommunication there. I am willing to give a refund and take down my review if you are willing to take down your review and send the jersey back to me. <br><b>[You]</b>: I believe this is an acceptable solution. <br><b>[Other]</b>: I am glad that you feel that way. I am willing to cover the cost of shipping it back. Are there any other issues that you have? <br><b>[You]</b>: I do not require that you apolagize to me if you do not require I apolagize to you. This part of the deal is not so important to me<br><b>[Other]</b>: I understand, I will offer an apology due to the nature of the situation regarding your nephew. I can understand your frustration so it is optional if you want to return the apology, <br><b>[You]</b>: 
Issue	Agreement
I receive refund	
Full refund
Seller retracts bad review of you?	
Retracts
I keep bad review of Seller	
Retract
Seller apologizes to you?	
Yes
You apologize to Seller?	
Yes
is this agreeable?<br><b>[Other]</b>: Yes this is agreeable. <br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize.<br><b>[Other]</b>: Accept Deal<br>"
2526,"<b>[You]</b>: I would like a refund<br><b>[Other]</b>: Our website clearly says all sales are final and no refunds issued.<br><b>[You]</b>: In that case, I would like to keep my review<br><b>[Other]</b>: I  cannot offer a refund, however, I'll give you 50% off your next purchase.<br><b>[You]</b>: Instead of a discount I would prefer to keep the review up so that others know not to take your product descriptions at face value<br><b>[Other]</b>: I have no issue with being entirely honest with my buyers. I'm sorry for the misunderstanding, however, product descriptions are as indicated on all productsf  for sale.<br><b>[You]</b>: Except the description was not honestly indicated on my purhcase, so I would like to keep my review on your site or have you retract your review of me.<br><b>[Other]</b>: My apologies, but you were looking for a Kobe jersey, not an authentic Lakers jersey. Which the description indicated. Therefore, your review is entirely erroneous. Which is why I hope you will remove it, Sir.<br><b>[You]</b>: Submitted agreement: Buyer gets no refund, seller kept their review, buyer kept their review, seller did apologize, and buyer didn't apologize.<br><b>[Other]</b>: Accept Deal<br>"
2527,"<b>[You]</b>: Hello, I'd like to receive a refund. I'm happy to return the product.<br><b>[Other]</b>: please goods sold are not returnable<br><b>[You]</b>: Even if you sent the wrong product? <br><b>[Other]</b>: I apologize for the inconvenience, we'll gladly facilitate a refund for the incorrect product sent.<br><b>[You]</b>: Thank you, I really appreciate it. When I receive the full refund, I'll also be happy to retract the bad review if you will also retract the review you left for me?<br><b>[Other]</b>: you will get your refund as soon as possible<br><b>[You]</b>: Thank you! Will you also retract the bad review you left me? I will do the same for you.<br><b>[Other]</b>: Sure, will need an apology as well.<br><b>[You]</b>: If you apologize to me as well - then yes! <br><b>[Other]</b>: Sure, i will<br><b>[You]</b>: Thanks, I'm happy we could reach an agreement.<br><b>[Other]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize.<br><b>[You]</b>: Accept Deal<br>"
2528,"<b>[You]</b>: I would like to request a refund for receiving a jersey falsely advertised, please.<br><b>[Other]</b>: What was this issue with your purchase?<br><b>[You]</b>: The listing for the jersey stated it was a Bryant jersey, I received a Lakers jersey but it does not have Bryant on it. <br><b>[Other]</b>: Our store doesn't sell Kobe Bryant jerseys. I believe you purchased a generic Lakers jersey and falsely thought it was a Kobe jersey. That said, I am willing to offer a refund in exchange for you deleting your negative review.<br><b>[You]</b>: I will accept that offer.<br><b>[Other]</b>: Great! Once the negative review is removed I will process your refund.<br><b>[You]</b>: I will remove it now.  Thank you for your assistance.<br><b>[Other]</b>: Have a nice day!<br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller kept their review, buyer retracted their review, seller didn't apologize, and buyer didn't apologize.<br><b>[Other]</b>: Accept Deal<br>"
2531,"<b>[You]</b>: Hello I would like to receive a refund as this purchase is not what I received. I would like an authentic jersey.<br><b>[Other]</b>: where you specific<br><b>[You]</b>: I would like a full refund please and an apology.<br><b>[Other]</b>: am sorry but can i know the reason<br><b>[You]</b>: This jersey quality is not up to par and I worked hard to earn this money to get a legitimate jersey.<br><b>[Other]</b>: well am sorry to hear that but our product are autentic<br><b>[You]</b>: It is not authentic and my review of you will stand. Please we need to agree with issue and refund and we can remove the ratings and reviews okay.<br><b>[Other]</b>: okay but on an account make sure the jersey is intact cause there will be a penalty if there's any fault<br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller didn't apologize, and buyer didn't apologize.<br><b>[Other]</b>: Reject Deal<br><b>[Other]</b>: am sorry for any inconvenience but can only give you refund if you accept the condition<br><b>[You]</b>: ok i will accept the condition<br><b>[Other]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer didn't apologize.<br><b>[You]</b>: Accept Deal<br>"
2533,"<b>[You]</b>: Hello, I would like to request a full refund for a product i got that didnt match what i ordered on the site.<br><b>[Other]</b>: Hello! I am sorry a problem was experienced. The jersey you ordered was clearly labelled on my site though, as you can see. (provides link to product page), so I cannot offer a refund. I would be willing to make an exchange, but you left a very bad review about me when the error was yours. <br><b>[You]</b>: Ill take an exchange if you can guarantee it will be a Kobe jersey. Then we can take down eachothers bad reviews and apologize to eatchother.<br><b>[Other]</b>: This is acceptable to me, because I want you to get what you wished to purchase. I will take down my bad review if you will, and I will mark this as a refund in the system but will be exchanging it for the Kobe jersey you wanted. <br><b>[You]</b>: That works for me, thank you and I apologize for the bad experience.<br><b>[Other]</b>: I apologize as well, and hope you will consider me for future sportswear memorabilia! <br><b>[You]</b>: I will, thank you for your time and have a great day.<br><b>[Other]</b>: Sounds good, I appreciate it and will finalize the deal after this message.<br><b>[You]</b>: Submitted agreement: Buyer gets no refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize.<br><b>[Other]</b>: Accept Deal<br>"
2539,"<b>[You]</b>: the shirt i brought was fake!<br><b>[Other]</b>: This is the second time you made a purchase knowing our policy<br><b>[You]</b>: it isnt my fault you listed it as a real shirt! i want a refund<br><b>[Other]</b>: It was not listed as a real shirt, I'm sorry but all sales are final<br><b>[You]</b>: no i disagree you said it was real i want a refund<br><b>[Other]</b>: Nowhere in the description did it say it was real, you were aware of our policy and this is your second time causing a similar issue.<br><b>[You]</b>: are you gaslighting me?<br><b>[Other]</b>: The best offer I can make you is that if you remove your negative review about us I will remove my negative review about you. There will be no refunds issued. Please make yourself fully aware of our policies should you decide to make purchases in the future.<br><b>[You]</b>: im sorry<br><b>[Other]</b>: Submitted agreement: Buyer gets no refund, seller retracted their review, buyer retracted their review, seller didn't apologize, and buyer didn't apologize.<br><b>[You]</b>: Accept Deal<br>"
2542,"<b>[You]</b>: Hello I am a recent buyer of your's. I receive a different jersey than what was ordered and I demand that you give me a refund and retract the slanderous review of me.<br><b>[Other]</b>: Hello. My jerseys are all sold as random player championship jerseys - I do not sell specific players jerseys. <br><b>[You]</b>: When I first ordered it clearly stated it would be a Kobe jersey not random players. I saw that you changed the description after the order when you were confronted about it.<br><b>[Other]</b>: That is inaccurate (actually not listed in my prompt at all, so that's a new concept!). I'll make a deal with you. I'll remove the bad review of you if you remove the bad review of me. I'll throw in a partial discount of the jersey. I apologize for the confusion on this, but I did not change the listing. <br><b>[You]</b>: This has caused alot of stress to the stress I already have since this was for my terminally ill family member since  Kobe is his favorite player. I would really like a full refund if possible but I accept your apology and would remove my review if you remove your's and give me the refund<br><b>[Other]</b>: My best wishes to your family member, I hope they are able to stay comfortable. My apologies for the stresses. That is okay. <br><b>[You]</b>: Okay I will remove my review as soon as I get my refund and you remove my review. I hope you have a good night.<br><b>[Other]</b>: Sounds good. You as well<br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer didn't apologize.<br><b>[Other]</b>: Accept Deal<br>"
2543,"<b>[You]</b>: HI-I would like to ask for a refund for the jersey.  I can return it to you in exchange for a refund.  It was for my nephew who is terminally ill.<br><b>[Other]</b>: Hi, I would be ok with offering a refund if the jersey is returned and unworn<br><b>[You]</b>: I will mail it out tomorrow.  Also, I agree to remove my bad review of you if you remove your bad review of me.  I apologize if this got heated.<br><b>[Other]</b>: Yes, I agree to remove my bad review if you do so as well. I apologize as well for any misunderstandings.<br><b>[You]</b>: This is good news.  I can then get my nephew the jersey.  He is a big fan of Kobe Bryant.<br><b>[Other]</b>: I hope you are able to find what you are looking for elsewhere. Make sure to read carefully what you are purchasing next time.<br><b>[You]</b>: I will.  Thanks for working with me.  I hope you have a great day!<br><b>[Other]</b>: Thank you, you as well<br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer retracted their review, seller did apologize, and buyer did apologize.<br><b>[Other]</b>: Accept Deal<br>"
2544,"<b>[You]</b>: Hi, I was hoping that we could come to a middle ground where we both walk away happy<br><b>[Other]</b>: of course, what would make you happy<br><b>[You]</b>: My biggest thing would be to get a refund for the Kobe jersey, that way I can buy it elsewhere for my sick nephew who really wants his jeres<br><b>[Other]</b>: ok if you are willing to pay to ship it back to me i will be more than happy to refund the jersey<br><b>[You]</b>: Since I'll be out of money for shipping, can you in return take down the bad review you have for me?<br><b>[Other]</b>: absoulutely<br><b>[You]</b>: That sounds perfect! Thanks again and sorry on my end for the way things played out<br><b>[Other]</b>: i also want to apologize for any misunderstanding about the name on your jersey<br><b>[You]</b>: Submitted agreement: Buyer gets full refund, seller retracted their review, buyer kept their review, seller did apologize, and buyer did apologize.<br><b>[Other]</b>: Accept Deal<br>"
