GroupID,Segment,Person.1,Person.2,LSM,WC.Person.1,WC.Person.2,ppron.Person.1,ppron.Person.2,ipron.Person.1,ipron.Person.2,article.Person.1,article.Person.2,prep.Person.1,prep.Person.2,negate.Person.1,negate.Person.2,adverb.Person.1,adverb.Person.2,auxverb.Person.1,auxverb.Person.2,conj.Person.1,conj.Person.2
2523,1,buyer,seller,0.73,593,249,12.65,17.27,9.95,10.44,9.44,2.01,5.73,10.84,2.7,5.22,3.04,1.2,13.49,11.65,8.6,6.02
2525,1,buyer,seller,0.80,272,320,18.01,14.69,4.78,7.5,6.99,8.13,9.19,10,4.04,0.63,5.15,4.06,10.66,12.19,6.25,3.75
2526,1,buyer,seller,0.86,179,193,15.08,14.51,4.47,3.11,5.03,5.7,16.2,11.4,3.91,4.15,4.47,7.77,7.82,12.95,4.47,5.7
2527,1,buyer,seller,0.63,225,111,23.56,12.61,1.33,0,9.33,8.11,7.56,11.71,0,0.9,8.89,7.21,9.33,11.71,11.56,9.01
2528,1,buyer,seller,0.82,118,133,11.86,14.29,9.32,4.51,8.47,8.27,6.78,5.26,3.39,1.5,1.69,2.26,10.17,11.28,2.54,1.5
2531,1,buyer,seller,0.60,269,174,10.41,6.9,4.09,1.72,5.2,7.47,8.55,4.6,4.83,0.57,0,6.9,9.29,16.09,7.81,9.2
2533,1,buyer,seller,0.75,159,222,16.35,17.12,4.4,5.41,7.55,6.31,9.43,12.16,1.26,0.45,0,4.05,11.32,11.26,7.55,11.26
2536,1,buyer,seller,0.63,250,126,19.6,15.87,7.2,3.97,8.8,7.14,7.6,7.94,0,3.17,1.2,14.29,10,7.14,6.4,2.38
2539,1,buyer,seller,0.68,90,237,26.67,15.61,7.78,7.17,8.89,5.91,2.22,7.59,5.56,4.22,0,3.38,12.22,13.92,2.22,4.22
2540,1,buyer,seller,0.86,247,306,13.36,16.34,4.05,5.56,6.88,8.17,14.17,14.05,2.83,2.29,2.83,4.25,10.12,12.42,3.64,7.52
2542,1,buyer,seller,0.79,333,219,18.62,17.81,4.8,4.11,7.21,8.68,8.71,13.7,0.9,2.28,4.8,2.74,10.51,9.13,11.11,4.11
2543,1,buyer,seller,0.76,200,142,20,17.61,4.5,4.23,5.5,1.41,11,14.08,0,0,1,7.75,11,9.86,5,8.45
2544,1,buyer,seller,0.86,192,86,15.1,12.79,5.73,3.49,5.21,4.65,18.23,22.09,0,0,3.65,4.65,11.46,8.14,3.13,6.98
2545,1,buyer,seller,0.84,177,121,16.38,17.36,3.39,2.48,8.47,6.61,9.04,11.57,0,0,10.73,4.13,15.25,16.53,8.47,4.13
2546,1,buyer,seller,0.82,118,317,10.17,16.72,3.39,5.99,8.47,9.15,6.78,9.15,5.93,3.47,5.93,6.31,11.86,15.14,5.93,2.84
2547,1,buyer,seller,0.76,282,235,17.38,17.87,2.84,7.23,6.38,7.23,8.51,8.51,1.06,0.85,1.06,6.38,8.51,11.91,6.38,2.55
2548,1,buyer,seller,0.84,360,233,15.56,19.74,1.39,3,10,7.3,13.89,11.59,1.94,3,3.89,2.15,12.78,13.73,5.56,5.15
2550,1,buyer,seller,0.85,668,703,17.07,15.08,3.89,1.99,7.78,8.25,10.33,8.82,4.79,2.7,6.29,3.27,10.18,10.95,7.63,6.69
2551,1,buyer,seller,0.61,84,115,20.24,18.26,3.57,2.61,5.95,6.96,10.71,10.43,1.19,0,0,6.96,7.14,5.22,2.38,10.43
2552,1,buyer,seller,0.79,305,142,13.77,9.86,4.26,7.75,7.87,9.15,11.15,13.38,2.62,3.52,0.66,7.04,11.8,11.97,7.87,6.34
2553,1,buyer,seller,0.71,182,374,10.44,20.59,7.14,3.74,13.19,5.88,12.64,13.64,0,0.53,2.75,4.01,11.54,12.57,3.3,3.21
2554,1,buyer,seller,0.73,229,204,11.35,15.2,3.06,3.92,13.1,10.29,15.72,10.29,0.87,5.39,2.18,5.88,11.35,15.2,7.42,4.9
2556,1,buyer,seller,0.91,277,121,13.36,13.22,3.61,4.13,8.3,7.44,11.91,13.22,2.17,3.31,6.14,7.44,13,17.36,7.22,5.79
2557,1,buyer,seller,0.88,439,304,15.95,19.41,3.64,6.25,6.38,4.28,7.52,8.55,3.87,2.96,4.33,4.28,11.16,7.89,6.61,6.58
2558,1,buyer,seller,0.78,388,237,9.79,14.35,2.84,7.59,11.86,6.75,10.57,10.97,2.06,2.95,2.84,3.8,10.57,12.66,5.67,2.53
2559,1,buyer,seller,0.91,543,159,16.02,15.72,4.42,3.77,6.45,10.69,10.87,7.55,4.79,3.77,5.16,5.03,13.63,11.95,8.66,8.81
2560,1,buyer,seller,0.68,283,135,15.9,19.26,7.07,2.96,8.13,5.19,7.42,17.04,2.83,0.74,1.41,5.93,14.84,12.59,4.24,5.93
2561,1,buyer,seller,0.55,173,82,13.29,7.32,4.05,13.41,11.56,2.44,8.09,6.1,0.58,6.1,4.05,2.44,10.98,4.88,7.51,2.44
2562,1,buyer,seller,0.74,146,168,19.18,20.24,2.74,6.55,2.05,1.79,4.79,10.12,2.74,2.38,2.05,0,10.96,11.31,6.85,9.52
2563,1,buyer,seller,0.54,78,175,14.1,20.57,7.69,4.57,2.56,7.43,3.85,8.57,7.69,0.57,0,1.71,14.1,18.29,1.28,2.86
2564,1,buyer,seller,0.84,497,404,13.88,21.53,4.43,3.96,9.66,9.16,8.45,11.88,3.62,1.24,3.62,4.7,9.86,9.65,8.45,5.45
2565,1,buyer,seller,0.86,509,203,10.61,10.84,9.23,4.43,8.84,8.37,10.61,15.76,3.34,4.93,3.93,5.91,11.98,11.33,6.68,8.87
2566,1,buyer,seller,0.71,74,87,18.92,17.24,9.46,4.6,8.11,5.75,9.46,8.05,2.7,10.34,6.76,3.45,9.46,18.39,2.7,6.9
