,Unnamed: 0,kodis-id,buyer or seller,extroversion_score,agreeableness_score,conscientiousness_score,neuroticism_score,openness_score
0,0,2523,buyer,Medium,Medium,Medium,Low,Medium
1,1,2523,seller,Medium,High,High,Medium,Low
2,2,2525,buyer,Medium,Medium,High,Medium,High
3,3,2525,seller,Low,Medium,Medium,Medium,High
4,4,2526,buyer,Low,Medium,High,Medium,High
5,5,2526,seller,Low,High,High,Low,High
6,6,2527,buyer,Low,Medium,High,Medium,High
7,7,2527,seller,Medium,High,High,Low,Medium
8,8,2528,buyer,Medium,High,High,Low,Medium
9,9,2528,seller,Low,Low,Medium,High,Medium
10,10,2531,buyer,Medium,Medium,Medium,Low,Out of Range
11,11,2531,seller,Medium,High,High,Low,Medium
12,12,2533,buyer,Medium,Medium,Medium,Low,Medium
13,13,2533,seller,Low,High,Medium,Medium,High
14,14,2536,buyer,Low,High,High,Medium,High
15,15,2536,seller,Low,High,Medium,Medium,High
16,16,2539,buyer,Medium,High,Medium,Medium,Medium
17,17,2539,seller,Low,Medium,Medium,Low,High
18,18,2540,buyer,Low,High,Medium,High,High
19,19,2540,seller,Low,High,High,Medium,High
20,20,2542,buyer,Low,High,High,High,High
21,21,2542,seller,Medium,High,Medium,Low,Medium
22,22,2543,buyer,Low,Medium,High,Medium,High
23,23,2543,seller,Low,Medium,Medium,Medium,High
24,24,2544,buyer,Medium,High,High,Low,High
25,25,2544,seller,Medium,Medium,Medium,Medium,Medium
26,26,2545,buyer,Medium,High,High,Medium,Medium
27,27,2545,seller,Medium,Medium,High,Medium,Medium
28,28,2546,buyer,Low,High,Medium,Low,High
29,29,2546,seller,Low,High,Medium,Medium,High
30,30,2547,buyer,Low,High,Medium,Low,High
31,31,2547,seller,High,High,High,Low,High
32,32,2548,buyer,Medium,Medium,High,Medium,Medium
33,33,2548,seller,Low,Medium,High,Medium,High
34,34,2550,buyer,Medium,Medium,Medium,Medium,High
35,35,2550,seller,Medium,High,High,Low,Medium
36,36,2551,buyer,High,High,High,Low,Medium
37,37,2551,seller,Medium,Medium,High,Medium,High
38,38,2552,buyer,Medium,Medium,Medium,Medium,High
39,39,2552,seller,High,High,High,Medium,Medium
40,40,2553,buyer,Medium,Low,High,Low,High
41,41,2553,seller,Medium,Medium,Medium,Medium,Medium
42,42,2554,buyer,Medium,Low,Out of Range,High,High
43,43,2554,seller,Medium,Medium,Medium,High,Medium
44,44,2556,buyer,Low,Medium,High,High,High
45,45,2556,seller,High,High,Out of Range,High,Medium
46,46,2557,buyer,Low,Low,High,High,High
47,47,2557,seller,Low,Medium,Medium,High,Medium
48,48,2558,buyer,Medium,High,High,Medium,Medium
49,49,2558,seller,Medium,High,High,Low,High
50,50,2559,buyer,Low,Medium,Medium,High,High
51,51,2559,seller,Low,Medium,Medium,High,High
52,52,2560,buyer,Low,Medium,Medium,Low,High
53,53,2560,seller,Medium,Medium,Low,High,High
54,54,2561,buyer,Medium,High,High,Medium,Medium
55,55,2561,seller,Medium,High,High,Medium,Medium
56,56,2562,buyer,Medium,Medium,Medium,High,Medium
57,57,2562,seller,Low,Medium,Low,Medium,High
58,58,2563,buyer,Low,High,Out of Range,Low,High
59,59,2563,seller,Low,Medium,High,Medium,High
60,60,2564,buyer,Medium,High,Medium,High,Medium
61,61,2564,seller,Low,High,Medium,High,High
62,62,2565,buyer,Medium,High,High,Medium,Medium
63,63,2565,seller,Medium,High,Low,High,Medium
64,64,2566,buyer,Medium,High,High,Low,Medium
65,65,2566,seller,Low,High,High,Medium,High
66,66,2567,buyer,Low,High,Medium,Medium,High
67,67,2567,seller,Low,High,High,Out of Range,High
68,68,2569,buyer,Medium,High,Medium,Low,Medium
69,69,2569,seller,Low,Low,High,High,Medium
70,70,2572,buyer,Medium,High,Medium,Medium,Medium
71,71,2572,seller,Low,High,High,Medium,High
72,72,2573,buyer,Medium,Medium,High,High,High
73,73,2573,seller,Low,High,High,Low,Medium
74,74,2574,buyer,Low,High,Medium,Medium,High
75,75,2574,seller,Low,High,Medium,Medium,High
76,76,2575,buyer,Medium,High,High,Low,Medium
77,77,2575,seller,Medium,Medium,Medium,Medium,Medium
78,78,2576,buyer,Medium,High,Medium,Medium,Low
79,79,2576,seller,Low,Medium,High,Medium,Medium
80,80,2577,buyer,Low,Medium,High,High,Medium
81,81,2577,seller,Low,High,Medium,Low,High
82,82,2578,buyer,High,High,High,Low,Medium
83,83,2578,seller,Medium,Medium,High,High,Medium
84,84,2580,buyer,Low,Low,High,High,High
85,85,2580,seller,Medium,Medium,High,Low,Medium
86,86,2581,buyer,Low,Medium,High,High,High
87,87,2581,seller,Medium,High,High,Medium,Medium
88,88,2582,buyer,Low,High,Medium,Medium,High
89,89,2582,seller,Medium,High,High,Low,Medium
90,90,2583,buyer,Low,High,Medium,Medium,High
91,91,2583,seller,Medium,Medium,High,Medium,Medium
92,92,2585,buyer,Low,Low,Medium,High,High
93,93,2585,seller,Medium,High,High,Low,Medium
94,94,2586,buyer,Low,Medium,Medium,Medium,Medium
95,95,2586,seller,Low,High,Medium,High,High
96,96,2587,buyer,Low,High,Medium,Low,High
97,97,2587,seller,Medium,Medium,Medium,High,High
98,98,2588,buyer,Low,High,High,Low,High
99,99,2588,seller,High,Medium,Medium,High,Medium
100,100,2589,buyer,Low,High,High,Low,High
101,101,2589,seller,Medium,Medium,Medium,Medium,High
102,102,2590,buyer,Medium,Medium,Medium,Medium,Medium
103,103,2590,seller,Medium,High,High,Low,High
104,104,2591,buyer,Low,High,High,Low,High
105,105,2591,seller,Medium,Medium,Medium,Low,High
106,106,2593,buyer,Low,High,High,Low,High
107,107,2593,seller,Medium,High,High,Low,High
108,108,2594,buyer,Low,High,Low,High,High
109,109,2594,seller,Medium,High,High,Medium,Medium
110,110,2595,buyer,Medium,High,High,Low,Medium
111,111,2595,seller,Medium,High,High,Low,High
112,112,2596,buyer,Medium,Low,High,High,Medium
113,113,2596,seller,Medium,Medium,High,Medium,Medium
114,114,2597,buyer,Medium,High,High,Medium,High
115,115,2597,seller,Low,Low,High,Low,High
116,116,2599,buyer,Medium,High,Low,Medium,Low
117,117,2599,seller,Medium,High,High,Medium,Medium
118,118,2600,buyer,Low,Medium,Medium,Out of Range,High
119,119,2600,seller,Medium,Medium,High,Low,Medium
120,120,2602,buyer,Medium,High,High,Medium,Medium
121,121,2602,seller,Low,Medium,High,Medium,High
122,122,2603,buyer,Low,Low,High,Medium,High
123,123,2603,seller,Medium,Medium,High,Medium,Medium
124,124,2606,buyer,Low,High,High,Medium,High
125,125,2606,seller,Medium,Low,Medium,High,Medium
126,126,2607,buyer,Medium,High,High,Low,Medium
127,127,2607,seller,Low,High,High,Medium,High
128,128,2609,buyer,Medium,Low,High,Medium,Medium
129,129,2609,seller,Low,High,High,Medium,Medium
130,130,2611,buyer,Medium,Low,High,Medium,Medium
131,131,2611,seller,Low,High,Medium,Low,High
132,132,2613,buyer,Medium,High,High,Low,Medium
133,133,2613,seller,Medium,Medium,High,Low,Medium
134,134,2616,buyer,Medium,High,Medium,Medium,Medium
135,135,2616,seller,Medium,High,High,Low,Medium
136,136,2621,buyer,Medium,High,Low,High,Medium
137,137,2621,seller,Low,Medium,High,High,High
138,138,2623,buyer,Low,High,Medium,Medium,High
139,139,2623,seller,Medium,High,Medium,Low,High
140,140,2624,buyer,Low,Medium,Medium,High,High
