,kodis-id,buyer or seller,extroversion_score,agreeableness_score,conscientiousness_score,neuroticism_score,openness_score
0,2523,buyer,3.0,3.5,3.5,2.0,3.5
1,2523,seller,3.5,4.0,5.0,3.5,2.0
2,2525,buyer,2.5,2.5,4.5,3.0,5.0
3,2525,seller,1.5,3.5,3.5,2.5,5.0
4,2526,buyer,1.5,3.5,4.5,3.0,4.5
5,2526,seller,2.0,4.5,5.0,2.0,5.0
6,2527,buyer,1.5,2.5,5.0,3.5,4.5
7,2527,seller,3.0,4.5,5.0,2.0,3.0
8,2528,buyer,3.5,5.0,4.0,2.0,3.5
9,2528,seller,2.0,1.0,3.5,5.0,3.5
10,2531,buyer,3.5,3.5,3.0,2.0,
11,2531,seller,2.5,5.0,5.0,1.0,3.0
12,2533,buyer,2.5,3.5,3.5,1.5,3.5
13,2533,seller,1.5,4.5,2.5,3.5,5.0
14,2536,buyer,2.0,4.0,4.0,3.0,4.0
15,2536,seller,2.0,4.5,3.5,3.5,5.0
16,2539,buyer,3.5,4.0,3.0,3.0,3.0
17,2539,seller,2.0,2.5,3.5,2.0,4.0
18,2540,buyer,2.0,4.0,2.5,4.0,5.0
19,2540,seller,1.5,5.0,5.0,3.0,5.0
20,2542,buyer,1.5,4.0,5.0,4.5,5.0
21,2542,seller,3.0,4.0,3.5,2.0,3.5
22,2543,buyer,1.5,3.5,4.0,3.0,4.0
23,2543,seller,1.5,3.0,2.5,3.5,5.0
24,2544,buyer,2.5,4.5,4.0,2.0,5.0
25,2544,seller,3.0,3.0,3.0,3.0,3.0
26,2545,buyer,3.5,4.0,4.0,3.5,3.5
27,2545,seller,2.5,3.5,4.0,3.0,3.0
28,2546,buyer,2.0,5.0,3.5,2.0,4.5
29,2546,seller,1.5,4.0,3.0,2.5,4.0
30,2547,buyer,2.0,5.0,3.0,2.0,5.0
31,2547,seller,4.0,5.0,5.0,1.0,4.0
32,2548,buyer,3.0,2.5,4.5,2.5,2.5
33,2548,seller,2.0,3.0,4.0,3.0,4.5
34,2550,buyer,2.5,3.5,3.0,3.0,5.0
35,2550,seller,3.0,4.0,4.5,1.5,2.5
36,2551,buyer,4.0,5.0,4.5,1.0,3.0
37,2551,seller,3.0,3.5,5.0,3.5,4.5
38,2552,buyer,2.5,3.0,2.5,2.5,4.0
39,2552,seller,4.0,4.0,4.0,3.0,3.5
40,2553,buyer,3.5,1.5,5.0,1.5,4.0
41,2553,seller,3.0,2.5,3.0,3.0,3.0
42,2554,buyer,2.5,2.0,,4.5,4.5
43,2554,seller,3.5,2.5,3.5,4.5,2.5
44,2556,buyer,1.5,3.5,5.0,5.0,5.0
45,2556,seller,4.0,4.0,,4.0,3.0
46,2557,buyer,1.0,2.0,4.0,4.0,4.5
47,2557,seller,2.0,3.0,3.0,4.0,3.5
48,2558,buyer,2.5,4.5,4.5,3.0,3.0
49,2558,seller,3.0,5.0,5.0,1.0,5.0
50,2559,buyer,2.0,3.5,3.0,4.5,4.5
51,2559,seller,2.0,3.0,2.5,4.0,4.5
52,2560,buyer,1.5,3.5,2.5,1.5,4.0
53,2560,seller,2.5,3.5,2.0,4.0,4.0
54,2561,buyer,2.5,4.0,4.0,3.5,3.0
55,2561,seller,3.0,5.0,5.0,2.5,2.5
56,2562,buyer,2.5,3.5,2.5,4.5,3.5
57,2562,seller,2.0,3.0,2.0,2.5,4.0
58,2563,buyer,1.5,4.5,,2.0,4.5
